feature,original_feature,mean_abs_shap
Mean Urine Output,urine_output_mean,0.6898229
Weight,weight,0.33589217
Diuretics,has_diuretics,0.26792246
SOFA,sofa_score,0.1423933
Ventilation,has_ventilation,0.12811348
Delta BUN,bun_last_mean_diff,0.086960316
Delta Bicarbonate,bicarbonate_last_mean_diff,0.08485045
Delta Creatinine,creatinine_last_mean_diff,0.067422144
Age,age,0.05810871
Delta Potassium,potassium_last_mean_diff,0.04906764
